point_id,valley,X,Y,data_type,verific_day,outcome,offset,offset_req,elevation,rel_elev,dist_sewer,dist_pri_sewer,dist_trash,lc_10m_veg,lc_10m_soil,lc_10m_imperv,lc_30m_veg,lc_30m_soil,lc_30m_imperv,lc_pablo_10m_veg,lc_pablo_10m_soil,lc_pablo_10m_imperv,lc_pablo_30m_veg,lc_pablo_30m_soil,lc_pablo_30m_imperv
42,2,561141.6,8571242,faeces,1,0,1,0,35.82771301,7.8277130099999965,2.32729315,22.60227882,61.94282763,0.375,0.2125,0.4125,0.288732394,0.323943662,0.387323944,0.299765808,0.097580016,0.602654176,0.431170406,0.121198995,0.447630599
43,2,561239.7,8571215,faeces,1,0,1,0,30,2,7.571523938,7.571523938,10.37882645,0.776315789,0.065789474,0.157894737,0.580965909,0.238636364,0.180397727,0.602175602,0,0.397824398,0.663837159,0.13295799,0.203204851
46,2,561051.2,8571201,faeces,1,0,1,0,59.15110397,31.15110397,4.868361302,83.70911675,132.0367278,0.013513514,0.108108108,0.878378378,0.044034091,0.136363636,0.819602273,0,0,1,0.089500563,0.025967281,0.884532156
492,2,561270.7,8571217,faeces,1,0,1,0,31.90112305,3.901123049999999,8.704192991,8.704192991,27.47041369,0.881578947,0.105263158,0.013157895,0.803977273,0.113636364,0.082386364,0.869056898,0.116913484,0.014029618,0.810979306,0.060264958,0.128755736
56,2,561109.4,8571218,faeces,1,0,1,0,45.89352799,17.893527990000003,7.358195225,21.82643784,91.97395951,0.217948718,0.448717949,0.333333333,0.245762712,0.416666667,0.337570621,0.369242779,0.152224824,0.478532397,0.393262319,0.175283623,0.431454057
59,2,561217.4,8571203,faeces,1,0,1,0,30,2,2.373991769,2.373991769,25.78673308,0.921052632,0.013157895,0.065789474,0.475714286,0.254285714,0.27,0.732449298,0.072542902,0.1950078,0.528117148,0.143661728,0.328221125
63,2,561206.6,8571227,faeces,1,0,1,0,30,2,11.08312887,11.08312887,8.886947897,0.315789474,0.631578947,0.052631579,0.472857143,0.341428571,0.185714286,0.458430458,0.278943279,0.262626263,0.651386482,0.172357019,0.176256499
64,2,561241.4,8571241,faeces,1,0,1,0,30,2,3.603744066,16.54351485,17.20298749,0.144736842,0.447368421,0.407894737,0.562857143,0.231428571,0.205714286,0.819173811,0.122369447,0.058456742,0.736983453,0.117733691,0.145282855
65,2,561232.9,8571258,faeces,1,0,1,0,34.75419617,6.75419617,3.42512494,35.69909975,32.48669384,0.125,0.4875,0.3875,0.305397727,0.336647727,0.357954545,0.216848674,0.417316693,0.365834633,0.550116954,0.156111929,0.293771117
68,2,561226.8,8571228,faeces,1,0,1,0,30,2,10.49547748,10.49547748,18.07978591,0.35,0.2875,0.3625,0.492917847,0.307365439,0.199716714,0.793452845,0.127825409,0.078721746,0.619521912,0.15962238,0.220855708
